ID,PRODUCT,amenities,anal,BDSM,femenino,masculino,juguetes,lenceria,muebles
357,Posicionador sexual Misión Perfecta,False,False,True,False,False,False,False,False
358,CORAZZONE,False,False,False,False,False,False,False,False
359,MASAJE SEXY con 8 programas,False,False,False,True,False,True,False,False
360,JUSTISSE HOGTIE,False,False,True,False,False,False,False,False
361,SAUVAGE CAT,False,True,False,False,False,True,False,False
362,Arnés con Anilla de Metal para el pene de amantis,False,False,True,True,False,True,False,False
363,Liguero erótico KINKY 100% vegano,False,False,True,True,False,False,True,False
364,SPIRAL,True,False,True,True,False,True,False,False
365,DIABLO G,False,False,False,True,False,True,False,False
366,RABBIT TURBO,False,False,False,True,False,True,False,False
367,Columpio sexual giratorio con estructura de amantis,False,False,True,False,False,False,False,True
368,LOCOMOTION rugged,False,False,False,True,False,True,False,False
369,PROSTÁTICO LISO,True,True,False,False,False,True,False,False
370,WARRIOR,True,False,False,False,False,True,False,False
371,Realidad Virtual 1,True,False,True,False,False,True,False,False
372,Glup! Plug mini aplique anal de silicona de amantis,True,True,False,False,False,True,False,False
373,DILDO DOBLE U,False,True,False,True,True,True,False,False
374,Realidad Virtual®Mega_Brute,False,False,True,False,False,False,False,False
375,ZETRO,False,True,False,False,False,True,False,False
376,RODEO plug anal con mando y masaje de bolas rotadoras,False,True,False,True,True,True,False,False
377,TAMBOR TURBO,True,False,False,True,False,True,False,False
378,DÚPLICE,True,True,False,True,False,True,False,False
379,SHEENA,True,False,False,True,False,True,False,False
380,MIKE,False,False,True,False,True,False,False,False
381,ARO medialuna vibradora de amantis,False,False,False,True,True,True,False,False
382,CHILLY,False,False,False,False,False,False,False,False
383,Bolsa algodón ORGASMELIA SINGULARIS,False,False,False,False,False,False,False,False
384,FLOWER,True,True,False,False,False,True,False,False
385,MUERDE,True,False,False,False,False,False,False,False
386,ORÜKI,True,False,False,True,False,True,False,False
387,DITALE Vibrador para dedo,False,False,False,False,False,True,False,False
388,HULA_DOM PINK,False,False,True,False,False,False,False,False
389,Body de encaje y tul semitransparente y con aperturas,False,False,False,False,False,False,True,False
390,Renegade Power Cage,False,False,False,False,True,False,False,False
391,Kit de amantis senses,False,False,False,False,False,True,False,False
392,SHUP! Succionadores de pezones,False,False,False,False,False,False,False,False
393,Cadena para cintura mariposa sexy,False,False,False,False,False,False,False,False
394,Arnés de cintura doble y cuello en V,False,False,True,False,False,False,True,False
395,AVATAR EWOK,False,False,True,True,False,True,False,True
396,CÉSAR KNOCKING,False,False,False,True,True,True,False,False
397,YOUMI,True,False,False,True,False,False,False,False
398,ENCANTO,False,False,False,True,False,True,False,False
399,ALVIN,False,False,False,True,False,True,False,False
400,TRIPLE MINOU,False,False,False,True,False,False,False,False
401,TUMBADITA 2,True,False,False,False,False,False,False,False
402,ZANNA,False,False,False,False,False,False,False,False
403,Bolsa algodón PLACERELLA PHELLATIUM,False,False,False,False,False,False,False,False
404,ROSSCO,False,False,False,False,False,False,False,False
405,SEX TAROT,False,False,False,False,False,False,False,False
406,YADRÓ Plugress,True,True,False,False,False,True,False,False
407,RAINBOW PLUGRESS,True,True,False,False,False,True,False,False
408,EMOJI PLUG,False,True,False,False,False,True,False,False
409,QUEEN,True,False,False,True,False,True,False,False
410,SECRET Masajeador de próstata,True,True,False,False,True,True,False,False
411,Pantis de rejilla amantis Mod,False,False,False,False,False,False,True,False
412,BRILLI,False,False,False,False,False,False,True,False
413,BONDY KIT,False,False,True,False,False,False,False,False
414,Azótame Corazón,False,False,False,False,False,False,False,False
415,Profunda Realidad Anal de amantis,False,True,True,True,False,True,False,False
416,Pala de doble cara,False,False,True,False,False,False,False,False
417,Collar de metal con pinzas japonesas de amantis,False,False,False,True,False,True,False,False
418,Cadenita joya con collar ancho y cinturón,False,False,False,False,False,False,True,False
419,CRYSTALLUS,True,False,True,True,False,True,False,False
420,LULAMAR,True,True,False,True,False,True,False,False
421,Bolsa algodón DISFUTELIA PHALOIDES,False,False,False,False,False,False,False,False
422,LINGALA Vibrador con lengua suave,True,False,False,True,False,True,False,False
423,LEOPARDA,False,False,False,False,False,False,True,False
424,CATTY,False,False,True,False,False,False,True,False
425,ZASLOVER,False,False,True,False,False,False,False,False
426,Desliz! de silicona 500,True,False,False,False,False,False,False,False
427,ENRICCO,False,False,True,True,False,True,False,False
428,VICTORIA,False,False,False,False,False,False,True,False
429,Huesito de silicona de amantis,False,False,False,False,False,False,False,False
430,BRAD 16cm,True,False,False,True,False,True,False,False
431,Arnés de pecho para hombre,False,False,True,False,True,False,False,False
432,CRESCENDO,True,True,False,True,False,True,False,False
